yearID,Rank,G,Ghome,W,L,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,attendance,BPF,PPF
1920,4.4375,154.25,77.125,76.75,76.75,672.625,5261.4375,1454.875,225.6875,79.0,39.375,426.5625,455.3125,107.5625,98.0625,,,672.625,534.4375,3.461875,87.1875,11.75,8.9375,4173.1875,1454.875,39.375,426.5,454.3125,217.9375,123.0,0.9662499999999999,570054.6875,100.25,100.5
1921,4.5,153.625,76.8125,76.625,76.625,745.9375,5325.3125,1549.4375,248.6875,85.25,58.5625,429.4375,435.1875,93.0,82.25,,,745.9375,615.5625,4.03125,79.5625,7.9375,11.0625,4124.625,1547.0,58.5625,426.5625,435.125,212.9375,135.75,0.9664999999999999,537957.0,100.0625,100.0625
1922,4.4375,154.75,77.375,76.9375,76.9375,753.6875,5333.1875,1538.75,246.4375,77.9375,65.9375,453.25,434.5625,89.75,71.8125,,,753.6875,623.5625,4.066875,77.5,9.1875,9.75,4142.0625,1536.125,65.9375,451.125,433.4375,200.5625,138.25,0.968125,551010.9375,100.125,100.0
1923,4.5,154.125,77.0625,76.625,76.625,742.125,5330.25,1514.0,245.125,71.3125,61.25,474.125,438.6875,97.8125,78.9375,,,742.125,611.5625,3.98875,76.5,8.0,10.4375,4140.375,1512.125,61.25,474.6875,437.9375,207.9375,143.0,0.9670624999999999,542025.375,100.1875,100.1875
1924,4.5,153.875,76.9375,76.5,76.5,732.625,5295.3125,1516.375,254.875,73.3125,56.0,459.5,416.0625,93.9375,77.5,,,732.625,616.5625,4.05,74.875,8.5625,10.9375,4112.8125,1513.1875,56.0,459.5,414.0,190.0,145.6875,0.9695625,599755.1875,100.1875,100.0625
1925,4.4375,153.5,76.75,76.5,76.5,787.25,5340.875,1557.0625,271.125,73.1875,73.0625,484.3125,417.5625,86.4375,68.6875,,,787.25,656.25,4.3325,75.5625,6.75,10.9375,4092.1875,1557.375,73.0625,485.5,418.0625,205.0625,151.8125,0.9668749999999999,596284.6875,100.1875,100.3125
1926,4.5,154.25,77.125,76.375,76.375,715.1875,5235.6875,1469.0625,258.9375,72.3125,53.9375,481.5625,425.6875,79.5,63.625,,,715.1875,596.5,3.92375,72.1875,8.375,12.125,4107.75,1469.75,53.9375,479.75,425.9375,194.625,143.5625,0.96875,614561.375,100.5,100.5
1927,4.5,154.5,77.25,76.75,76.75,734.0625,5278.8125,1497.4375,259.3125,71.875,57.625,464.4375,427.0,89.8125,63.875,,,734.0625,615.125,4.02875,74.875,8.0,12.3125,4126.3125,1499.4375,57.625,465.0625,430.9375,200.6875,145.0625,0.9676874999999999,620179.25,99.9375,99.8125
1928,4.5,153.875,76.9375,76.6875,76.6875,727.8125,5278.3125,1483.25,263.8125,71.125,68.3125,479.75,445.5625,79.0625,59.5,,,727.8125,613.0625,4.018125,73.25,8.25,13.625,4125.375,1481.6875,68.3125,478.875,443.375,185.8125,149.625,0.9698125,568892.8125,100.1875,100.3125
1929,4.5,153.625,76.8125,76.3125,76.3125,796.6875,5325.6875,1540.25,280.125,73.0,84.3125,500.9375,440.1875,82.875,61.375,,,796.6875,679.0,4.476875,73.0625,7.625,13.4375,4096.5,1540.1875,84.3125,500.625,439.875,183.5,148.3125,0.9700624999999999,599261.4375,100.125,100.125
1930,4.5,154.25,77.125,77.0,77.0,855.9375,5410.9375,1599.875,297.5625,80.0625,97.8125,479.125,496.0,67.4375,52.875,,,855.9375,729.625,4.808125,68.375,5.8125,13.4375,4098.1875,1600.25,97.8125,477.8125,495.625,189.1875,156.375,0.969,633266.375,100.125,100.125
1931,4.5,154.5,77.25,76.6875,76.6875,743.25,5413.1875,1502.3125,281.9375,66.875,66.8125,479.375,494.3125,67.875,56.5,,,743.25,629.4375,4.123125,74.25,8.375,12.25,4122.1875,1502.4375,66.8125,479.0625,494.25,185.5625,148.1875,0.9696874999999999,529194.1875,100.0625,100.125
1932,4.4375,154.125,77.0625,76.75,76.75,757.25,5449.5625,1506.75,286.25,67.0,84.875,471.625,492.875,61.8125,50.625,,,757.25,641.8125,4.181875,70.3125,7.5625,12.0625,4147.875,1506.625,84.875,471.25,491.125,182.5625,146.3125,0.97025,435910.375,100.375,100.3125
1933,4.5,153.25,76.625,76.0,76.0,686.75,5327.0625,1435.5625,246.5,60.4375,66.6875,459.3125,464.5,53.75,47.0,,,686.75,578.5625,3.8125,69.5625,10.5625,13.875,4105.125,1435.375,66.6875,459.3125,464.8125,169.75,141.125,0.972,380564.4375,100.5625,100.5
1934,4.5,152.875,76.4375,75.9375,75.9375,750.0,5369.625,1497.75,269.5625,55.125,84.0,491.375,526.8125,56.8125,39.375,,,750.0,645.4375,4.285625,66.3125,8.875,14.3125,4069.875,1498.0,84.0,490.625,526.8125,173.75,143.5625,0.971125,435231.9375,100.3125,100.4375
1935,4.5,153.5,76.75,76.1875,76.1875,751.625,5402.3125,1504.625,266.5625,61.6875,82.8125,489.25,500.5,55.1875,41.125,,,751.625,643.5,4.23875,68.3125,9.4375,13.0,4101.5625,1503.75,82.8125,489.375,501.0,178.875,138.0,0.970375,459082.25,100.3125,100.25
1936,4.4375,154.75,77.375,76.75,76.75,802.875,5477.375,1553.9375,279.4375,61.1875,85.25,525.75,514.125,60.1875,40.0,,,802.875,692.1875,4.530625,67.1875,7.625,14.875,4132.3125,1553.0625,85.25,525.9375,514.5625,180.8125,148.4375,0.9703125,505163.3125,100.3125,100.375
1937,4.5,154.875,77.4375,76.625,76.625,754.375,5372.6875,1485.5625,263.5,62.3125,89.375,527.5,562.25,63.8125,42.125,,,754.375,648.875,4.266875,69.625,8.75,13.4375,4106.8125,1485.375,89.375,527.3125,562.1875,174.0,146.375,0.9713125,558753.9375,100.25,100.125
1938,4.5,152.875,76.4375,75.4375,75.4375,748.0625,5313.3125,1455.8125,252.875,58.4375,92.1875,539.5,521.5,56.0,40.625,,,748.0625,643.9375,4.290625,68.125,8.125,13.125,4060.125,1455.625,92.1875,539.3125,521.375,171.4375,152.3125,0.9714375,562906.9375,99.9375,100.1875
